;velocity 0;FuncMatrix 0;FuncMatrixRemake 0;velocity 1;FuncMatrix 1;FuncMatrixRemake 1;velocity 2;FuncMatrix 2;FuncMatrixRemake 2;velocity 3;FuncMatrix 3;FuncMatrixRemake 3;velocity 4;FuncMatrix 4;FuncMatrixRemake 4;velocity 5;FuncMatrix 5;FuncMatrixRemake 5;velocity 6;FuncMatrix 6;FuncMatrixRemake 6;velocity 7;FuncMatrix 7;FuncMatrixRemake 7;velocity 8;FuncMatrix 8;FuncMatrixRemake 8;velocity 9;FuncMatrix 9;FuncMatrixRemake 9;velocity 10;FuncMatrix 10;FuncMatrixRemake 10;velocity 11;FuncMatrix 11;FuncMatrixRemake 11;velocity 12;FuncMatrix 12;FuncMatrixRemake 12;velocity 13;FuncMatrix 13;FuncMatrixRemake 13;velocity 14;FuncMatrix 14;FuncMatrixRemake 14;velocity 15;FuncMatrix 15;FuncMatrixRemake 15;velocity 16;FuncMatrix 16;FuncMatrixRemake 16;velocity 17;FuncMatrix 17;FuncMatrixRemake 17;velocity 18;FuncMatrix 18;FuncMatrixRemake 18;velocity 19;FuncMatrix 19;FuncMatrixRemake 19
10;-5.60E-05;-7.20E-05;-7.20E-05;-6.48E-05;-3.96E-05;-3.96E-05;-4.63E-05;-1.64E-05;-1.64E-05;-2.35E-05;-4.69E-06;-4.69E-06;-9.77E-06;1.99E-07;0;-1.51E-06;7.53E-07;7.53E-07;-1.54E-06;1.52E-06;1.52E-06;-1.58E-06;2.31E-06;2.31E-06;-1.61E-06;3.12E-06;1.00E-04;-1.62E-06;0.00010081;0.00010081;-1.65E-06;0.000101636;0.000101636;-1.66E-06;0.000102466;0.000102466;-1.66E-06;0.000103298;0.0002;-1.66E-06;0.000200831;0.000200831;-1.67E-06;0.000201667;0.000201667;-1.67E-06;0.000202504;0.000202504;-1.67E-06;0.000203341;0.0003;-1.67E-06;0.000300834;0.000300834;-1.67E-06;0.00030167;0.00030167;-1.67E-06;0.000302506;0.000302506
11;-5.12E-05;-0.000174384;-0.000174384;-8.42E-05;-0.0001323;-0.0001323;-9.76E-05;-8.35E-05;-8.35E-05;-8.10E-05;-4.30E-05;-4.30E-05;-5.03E-05;-1.79E-05;-1.00E-04;-0.000138447;-3.08E-05;-3.08E-05;-4.47E-05;-8.44E-06;-8.44E-06;-1.44E-05;-1.22E-06;-1.22E-06;-5.21E-06;1.38E-06;0;-1.49E-06;7.45E-07;7.45E-07;-1.50E-06;1.49E-06;1.49E-06;-1.50E-06;2.25E-06;2.25E-06;-1.51E-06;3.00E-06;1.00E-04;-1.51E-06;0.000100756;0.000100756;-1.53E-06;0.00010152;0.00010152;-1.53E-06;0.000102284;0.000102284;-1.53E-06;0.000103048;0.0002;-1.53E-06;0.000200763;0.000200763;-1.53E-06;0.000201528;0.000201528;-1.53E-06;0.000202293;0.000202293
12;-4.71E-05;-0.000276438;-0.000276438;-7.74E-05;-0.000237736;-0.000237736;-0.000102573;-0.00018645;-0.00018645;-0.00011497;-0.000128964;-0.000128964;-0.000104379;-7.68E-05;-0.0002;-0.000128099;-0.00013595;-0.00013595;-0.000137916;-6.70E-05;-6.70E-05;-7.85E-05;-2.77E-05;-2.77E-05;-3.61E-05;-9.67E-06;-1.00E-04;-0.000137898;-3.11E-05;-3.11E-05;-4.40E-05;-9.04E-06;-9.04E-06;-1.47E-05;-1.71E-06;-1.71E-06;-5.53E-06;1.05E-06;0;-1.40E-06;7.00E-07;7.00E-07;-1.40E-06;1.40E-06;1.40E-06;-1.40E-06;2.10E-06;2.10E-06;-1.40E-06;2.80E-06;0.0001;-1.40E-06;0.000100701;0.000100701;-1.41E-06;0.000101406;0.000101406;-1.41E-06;0.000102111;0.000102111
13;-4.36E-05;-0.000378213;-0.000378213;-7.16E-05;-0.000342406;-0.000342406;-9.46E-05;-0.000295112;-0.000295112;-0.000112794;-0.000238715;-0.000238715;-0.000123926;-0.000176752;-0.0003;-0.000119174;-0.000240413;-0.000240413;-0.000127474;-0.000176676;-0.000176676;-0.000136873;-0.00010824;-0.00010824;-0.000102117;-5.72E-05;-0.0002;-0.000128355;-0.000135823;-0.000135823;-0.000135007;-6.83E-05;-6.83E-05;-7.68E-05;-2.99E-05;-2.99E-05;-3.67E-05;-1.16E-05;-0.0001;-0.00013039;-3.48E-05;-3.48E-05;-4.63E-05;-1.17E-05;-1.17E-05;-1.70E-05;-3.14E-06;-3.14E-06;-6.85E-06;2.81E-07;0;-1.31E-06;6.53E-07;6.53E-07;-1.30E-06;1.31E-06;1.31E-06;-1.30E-06;1.96E-06;1.96E-06
14;-4.05E-05;-0.000479762;-0.000479762;-6.66E-05;-0.000446462;-0.000446462;-8.78E-05;-0.000402584;-0.000402584;-0.000104195;-0.000350486;-0.000350486;-0.000117935;-0.000291519;-0.0004;-0.000111397;-0.000344302;-0.000344302;-0.000118534;-0.000285035;-0.000285035;-0.000126442;-0.000221814;-0.000221814;-0.000134727;-0.00015445;-0.0003;-0.000120041;-0.00023998;-0.00023998;-0.000125531;-0.000177214;-0.000177214;-0.000131909;-0.00011126;-0.00011126;-9.89E-05;-6.18E-05;-0.0002;-0.000121962;-0.000139019;-0.000139019;-0.000127069;-7.55E-05;-7.55E-05;-7.79E-05;-3.65E-05;-3.65E-05;-4.08E-05;-1.62E-05;-1.00E-04;-0.000122152;-3.89E-05;-3.89E-05;-4.83E-05;-1.48E-05;-1.48E-05;-1.96E-05;-4.97E-06;-4.97E-06
15;-3.77E-05;-0.000581127;-0.000581127;-6.22E-05;-0.000550022;-0.000550022;-8.18E-05;-0.000509102;-0.000509102;-9.68E-05;-0.000460677;-0.000460677;-0.000109094;-0.00040613;-0.0005;-0.000104558;-0.000447721;-0.000447721;-0.000110787;-0.000392328;-0.000392328;-0.000117559;-0.000333548;-0.000333548;-0.000124468;-0.000271314;-0.0004;-0.000112733;-0.000343634;-0.000343634;-0.000117329;-0.000284969;-0.000284969;-0.000122595;-0.000223672;-0.000223672;-0.000128398;-0.000159472;-0.0003;-0.000114554;-0.000242723;-0.000242723;-0.000118771;-0.000183338;-0.000183338;-0.000123624;-0.000121525;-0.000121525;-9.75E-05;-7.28E-05;-0.0002;-0.00011474;-0.00014263;-0.00014263;-0.000118841;-8.32E-05;-8.32E-05;-7.84E-05;-4.40E-05;-4.40E-05
16;-3.53E-05;-0.000682339;-0.000682339;-5.83E-05;-0.000653171;-0.000653171;-7.67E-05;-0.000614841;-0.000614841;-9.05E-05;-0.000569595;-0.000569595;-0.00010155;-0.00051882;-0.0006;-9.85E-05;-0.000550751;-0.000550751;-0.000104005;-0.000498749;-0.000498749;-0.00010989;-0.000443804;-0.000443804;-0.000115759;-0.000385924;-0.0005;-0.000106259;-0.000446871;-0.000446871;-0.000110156;-0.000391793;-0.000391793;-0.000114568;-0.000334508;-0.000334508;-0.000119345;-0.000274836;-0.0004;-0.000107992;-0.000346004;-0.000346004;-0.000111515;-0.000290246;-0.000290246;-0.000115528;-0.000232483;-0.000232483;-0.000119979;-0.000172493;-0.0003;-0.000108174;-0.000245913;-0.000245913;-0.000111585;-0.000190121;-0.000190121;-0.000115457;-0.000132392;-0.000132392
17;-3.32E-05;-0.000783422;-0.000783422;-5.49E-05;-0.000755978;-0.000755978;-7.21E-05;-0.000719937;-0.000719937;-8.49E-05;-0.000677474;-0.000677474;-9.50E-05;-0.000629962;-0.0007;-9.31E-05;-0.000653456;-0.000653456;-9.80E-05;-0.000604449;-0.000604449;-0.000103195;-0.000552852;-0.000552852;-0.000108259;-0.000498722;-0.0006;-0.000100483;-0.000549758;-0.000549758;-0.000103825;-0.000497846;-0.000497846;-0.000107572;-0.00044406;-0.00044406;-0.000111565;-0.000388277;-0.0005;-0.000102139;-0.00044893;-0.00044893;-0.000105113;-0.000396374;-0.000396374;-0.000108472;-0.000342138;-0.000342138;-0.00011215;-0.000286063;-0.0004;-0.000102317;-0.000348841;-0.000348841;-0.000105183;-0.00029625;-0.00029625;-0.000108409;-0.000242045;-0.000242045
18;-3.12E-05;-0.000884396;-0.000884396;-5.18E-05;-0.000858497;-0.000858497;-6.80E-05;-0.000824494;-0.000824494;-8.00E-05;-0.000784489;-0.000784489;-8.93E-05;-0.000739832;-0.0008;-8.82E-05;-0.000755884;-0.000755884;-9.27E-05;-0.000709544;-0.000709544;-9.73E-05;-0.000660897;-0.000660897;-0.000101723;-0.000610036;-0.0007;-9.53E-05;-0.000652351;-0.000652351;-9.82E-05;-0.000603253;-0.000603253;-0.000101413;-0.000552547;-0.000552547;-0.000104796;-0.000500149;-0.0006;-9.69E-05;-0.000551557;-0.000551557;-9.94E-05;-0.000501847;-0.000501847;-0.000102263;-0.000450716;-0.000450716;-0.000105342;-0.000398045;-0.0005;-9.71E-05;-0.00045147;-0.00045147;-9.95E-05;-0.000401724;-0.000401724;-0.000102208;-0.000350621;-0.000350621
19;-2.94E-05;-0.000985276;-0.000985276;-4.90E-05;-0.00096077;-0.00096077;-6.44E-05;-0.000928595;-0.000928595;-7.56E-05;-0.00089078;-0.00089078;-8.43E-05;-0.000848646;-0.0009;-8.38E-05;-0.000858077;-0.000858077;-8.79E-05;-0.000814127;-0.000814127;-9.20E-05;-0.000768103;-0.000768103;-9.60E-05;-0.000720119;-0.0008;-9.06E-05;-0.000754691;-0.000754691;-9.32E-05;-0.000708115;-0.000708115;-9.59E-05;-0.000660143;-0.000660143;-9.88E-05;-0.00061072;-0.0007;-9.21E-05;-0.000653928;-0.000653928;-9.43E-05;-0.000606767;-0.000606767;-9.68E-05;-0.000558391;-0.000558391;-9.94E-05;-0.000508711;-0.0006;-9.23E-05;-0.000553842;-0.000553842;-9.44E-05;-0.000506645;-0.000506645;-9.67E-05;-0.000458293;-0.000458293
