,vel 0,Pres 0,FMat 0,FMatRem 0,Visc 0,vel 1,Pres 1,FMat 1,FMatRem 1,Visc 1,vel 2,Pres 2,FMat 2,FMatRem 2,Visc 2
0,-2.967819438373967e-07,114635.43050014412,-0.008369553704417889,-0.002914437303714182,0.002,-2.332487757151254e-06,126176.45902910206,-0.0029132710598356064,-0.002223451003604496,0.002,-2.4953943846205976e-06,136416.7079693529,-0.002222203306412186,-0.0014194782869216542,0.002
1,-3.1174068801961894e-07,114418.58918022763,-0.008406940656268501,-0.003014308847964379,0.002,-2.326987750597508e-06,125935.43173707121,-0.00301314535408908,-0.002323318299641007,0.002,-2.488226840237281e-06,136156.46499435598,-0.002322074186220888,-0.0015193420924534341,0.002
2,-3.3089333098759e-07,114204.98517310517,-0.008445344061350453,-0.003114180392214574,0.002,-2.3144805474579944e-06,125695.73063479917,-0.003113023151940845,-0.0024231855956775186,0.002,-2.4720909602844072e-06,135897.96656693003,-0.0024219495501973764,-0.0016192058979852108,0.002
3,-3.49100517355099e-07,113994.58360218524,-0.008484752655804758,-0.0032140519364647693,0.002,-2.301282407530492e-06,125457.42653608158,-0.0032129012952610042,-0.0025230528917140303,0.002,-2.455552616947174e-06,135641.25317790234,-0.0025218251154055567,-0.0017190697035169896,0.002
4,-3.6638460303576014e-07,113787.34845509494,-0.008525152492256776,-0.0033139234807149647,0.002,-2.2874827536470118e-06,125220.58097376299,-0.003312779739338141,-0.0026229201877505403,0.002,-2.4387166066991282e-06,135386.35445400685,-0.002621700829447191,-0.0018189335090487678,0.002
5,-3.8276885377957847e-07,113583.24272663274,-0.008566529538809183,-0.003413795024965162,0.002,-2.273162640205004e-06,124985.24707476195,-0.0034126584436450598,-0.002722787483787053,0.002,-2.421675698112051e-06,135133.29041257288,-0.002721576645937997,-0.0019187973145805477,0.002
6,-3.9827725513350567e-07,113382.22855171964,-0.008608869697130359,-0.0035136665692153566,0.002,-2.258395464390587e-06,124751.47036014449,-0.0035125373714831615,-0.0028226547798235646,0.002,-2.4045117543718497e-06,134882.0725984128,-0.002821452523946379,-0.002018661120112325,0.002
7,-4.1293434200607884e-07,113184.26732888802,-0.008652158819906627,-0.0036135381134655524,0.002,-2.243247619394082e-06,124519.28947640688,-0.003612416489655855,-0.0029225220758600737,0.002,-2.38729675857983e-06,134632.70511317757,-0.002921328427480784,-0.002118524925644102,0.002
8,-4.2676504600740654e-07,112989.31983485194,-0.008696382727636051,-0.003713409657715748,0.002,-2.227779094072896e-06,124288.73686365341,-0.003712295768168712,-0.0030223893718965863,0.002,-2.3700937499554803e-06,134385.18554658646,-0.0030212043250216086,-0.0022183887311758824,0.002
9,-4.397945589269582e-07,112797.34633069264,-0.008741527224746042,-0.0038132812019659435,0.002,-2.2120440232483847e-06,124059.83936590627,-0.0038121751799543194,-0.0031222566679330985,0.002,-2.3529576784070537e-06,134139.5058181416,-0.003121080189093895,-0.0023182525367076603,0.002
10,-4.5204821087211623e-07,112608.30666017818,-0.008787578115021066,-0.0039131527462161406,0.002,-2.196091192532384e-06,123832.61878836725,-0.0039120547006198745,-0.00322212396396961,0.002,-2.3359361843215395e-06,133895.65293720987,-0.0032209559958774493,-0.0024181163422394387,0.002
11,-4.635513617428218e-07,112422.16034071558,-0.008834521216330648,-0.004013024290466336,0.002,-2.1799645013192172e-06,123607.09240606404,-0.004011934308215677,-0.003321991260006122,0.002,-2.3190703098810567e-06,133653.6096886862,-0.0033208317248511815,-0.0025179801477712175,0.002
12,-4.743293048477015e-07,112238.86664740977,-0.008882342374651691,-0.004112895834716533,0.002,-2.1637033873216784e-06,123383.27342795205,-0.004111813983022872,-0.0034218585560426337,0.002,-2.3023951476906004e-06,133413.35525083652,-0.0034207073584687883,-0.002617843953302995,0.002
13,-4.844071815817579e-07,112058.38469067785,-0.008931027477382444,-0.004212767378966729,0.002,-2.147343215773543e-06,123161.17142020975,-0.004211693707358842,-0.0035217258520791462,0.002,-2.2859404320287107e-06,133174.86575135763,-0.003520582881863132,-0.0027177077588347747,0.002
14,-4.938099061894734e-07,111880.6734878411,-0.008980562465948807,-0.0043126389232169245,0.002,-2.1309156361915334e-06,122940.79269215728,-0.004311573465398829,-0.003621593148115657,0.002,-2.269731077594712e-06,132938.11476717325,-0.00362045828257686,-0.002817571564366553,0.002
15,-5.025620997289892e-07,111705.69202909069,-0.0090309333477066,-0.004412510467467119,0.002,-2.1144489093638615e-06,122722.1406479434,-0.0044114532430124375,-0.003721460444152168,0.002,-2.253787670226199e-06,132703.0737730138,-0.0037203335503170547,-0.002917435369898332,0.002
16,-5.106880324293579e-07,111533.39933819669,-0.009082126207146159,-0.004512382011717317,0.002,-2.0979682070241324e-06,122505.21610688453,-0.004511333027613805,-0.00382132774018868,0.002,-2.2381269136885403e-06,132469.71254339206,-0.003820208676731836,-0.00301729917543011,0.002
17,-5.182115737079456e-07,111363.75452830651,-0.0091341272164081,-0.004612253555967512,0.002,-2.08149588647496e-06,122290.01759509827,-0.004611212808024274,-0.00392119503622519,0.002,-2.2227620362958466e-06,132237.9995121908,-0.003920083655207042,-0.0031171629809618887,0.002
18,-5.251561491766403e-07,111196.71685315357,-0.009186922645121356,-0.004712125100217709,0.002,-2.0650517422395286e-06,122076.54161085271,-0.0047110925743465894,-0.004021062332261703,0.002,-2.2077031608126155e-06,132007.90209371375,-0.0040199584806812965,-0.003217026786493668,0.002
19,-5.315447040205153e-07,111032.2457539765,-0.009240498869576575,-0.004811996644467904,0.002,-2.0486532366533383e-06,121864.7828658501,-0.0048109723178495776,-0.004120929628298214,0.002,-2.1929576407956575e-06,131779.38696871776,-0.004119833149477816,-0.0033168905920254446,0.002
20,-5.373996721845306e-07,110870.30090242712,-0.009294842381249767,-0.004911868188718099,0.002,-2.032315711151572e-06,121654.73450447651,-0.004910852030862523,-0.004220796924334726,0.002,-2.178530366272535e-06,131552.4203386391,-0.00421970765915159,-0.0034167543975572243,0.002
21,-5.427429508468504e-07,110710.84223972728,-0.00934993979469258,-0.005011739732968297,0.002,-2.016052579858326e-06,121446.38830287881,-0.005010731706678368,-0.004320664220371239,0.002,-2.1644240414076916e-06,131326.9681509467,-0.004319582008350535,-0.0035166182030890035,0.002
