,vel 0,Pres 0,FMat 0,FMatRem 0,Visc 0,vel 1,Pres 1,FMat 1,FMatRem 1,Visc 1
0,-7.640199841677821e-07,335556.5959393481,-0.008369320085397723,-0.0029145280177295288,0.002,-5.5017065399973775e-08,342476.1532985569,-0.002914500509196829,-0.0022235377236960725,0.002
1,-7.547238720130128e-07,335554.6096820781,-0.008406719164676507,-0.0030143996087875157,0.002,-6.936515440414265e-08,342473.0503808663,-0.0030143649262103136,-0.0023234050537831426,0.002
2,-7.49684186039969e-07,335550.74960689485,-0.008445134665922928,-0.0031142711998455004,0.002,-9.759854005678286e-08,342467.0136816885,-0.003114222400575472,-0.0024232723838702136,0.002
3,-7.450870105681146e-07,335545.12186737894,-0.00848455466255815,-0.0032141427909034856,0.002,-1.2433396067230722e-07,342458.2005824091,-0.0032140806239231495,-0.0025231397139572845,0.002
4,-7.408877707980567e-07,335537.82670497283,-0.008524965240672895,-0.003314014381961471,0.002,-1.4967418992637475e-07,342446.75762424694,-0.0033139395448665075,-0.0026230070440443564,0.002
5,-7.370458488446521e-07,335528.9588001183,-0.00856635240031165,-0.0034138859730194586,0.002,-1.7371403414397766e-07,342432.8213520557,-0.0034137991160023864,-0.0027228743741314282,0.002
6,-7.335242396462326e-07,335518.6076021447,-0.008608702073638102,-0.0035137575640774433,0.002,-1.9654094676191352e-07,342416.5190925794,-0.003513659293604062,-0.0028227417042184988,0.002
7,-7.302892371528982e-07,335506.85763912665,-0.008652000142459053,-0.0036136291551354277,0.002,-2.1823559688369268e-07,342397.96967210737,-0.0036135200373369858,-0.0029226090343055684,0.002
8,-7.273101480049141e-07,335493.78880888585,-0.008696232455085053,-0.0037135007461934154,0.002,-2.3887239506646236e-07,342377.28407813545,-0.0037133813099958822,-0.003022476364392641,0.002
9,-7.24559030185151e-07,335479.4766522604,-0.008741384842510413,-0.0038133723372514006,0.002,-2.585199793380922e-07,342354.5660693074,-0.0038132430772617317,-0.0031223436944797117,0.002
10,-7.220104543692491e-07,335463.992609713,-0.008787443133899318,-0.003913243928309387,0.002,-2.7724166426198974e-07,342329.9127376066,-0.003913105307477256,-0.003222211024566784,0.002
11,-7.196412859303915e-07,335447.4042622969,-0.008834393171368554,-0.004013115519367373,0.002,-2.9509585572052465e-07,342303.41502647626,-0.004012967971439513,-0.0033220783546538545,0.002
12,-7.174304857567844e-07,335429.7755579402,-0.008882220824061237,-0.004112987110425358,0.002,-3.121364339453896e-07,342275.1582082733,-0.004112831042208386,-0.0034219456847409246,0.002
13,-7.153589282062549e-07,335411.16702395544,-0.008930912001509132,-0.004212858701483345,0.002,-3.284131071371888e-07,342245.22232420393,-0.004212694494929776,-0.0035218130148279973,0.002
14,-7.134092346949324e-07,335391.6359666308,-0.008980452666284555,-0.004312730292541331,0.002,-3.439717378686648e-07,342213.68258965446,-0.004312558306672397,-0.0036216803449150682,0.002
15,-7.115656215552557e-07,335371.2366587029,-0.009030828845945686,-0.004412601883599317,0.002,-3.58854644340185e-07,342180.6097676056,-0.004412422456277147,-0.00372154767500214,0.002
16,-7.09813760924113e-07,335350.0205154656,-0.00908202664428191,-0.004512473474657303,0.002,-3.7310087838125216e-07,342146.07051261305,-0.0045122869242181125,-0.0038214150050892106,0.002
17,-7.08140653543815e-07,335328.0362602206,-0.009134032251868185,-0.004612345065715289,0.002,-3.8674648197959073e-07,342110.1276876475,-0.0046121516924742985,-0.003921282335176281,0.002
18,-7.065345124534261e-07,335305.33007972955,-0.00918683195593972,-0.004712216656773275,0.002,-3.9982472398678017e-07,342072.8406559065,-0.004712016744411281,-0.004021149665263354,0.002
19,-7.049846566467288e-07,335281.94577028806,-0.009240412149600263,-0.00481208824783126,0.002,-4.123663185151084e-07,342034.2655495494,-0.004811882064672002,-0.0041210169953504235,0.002
20,-7.034814138505984e-07,335257.9248749984,-0.009294759340378938,-0.004911959838889246,0.002,-4.243996264443107e-07,341994.4555171536,-0.004911747639076024,-0.004220884325437495,0.002
21,-7.020160316570761e-07,335233.306812785,-0.009349860158152177,-0.005011831429947233,0.002,-4.359508413459517e-07,341953.46095154923,-0.0050116134545265595,-0.004320751655524567,0.002
22,-7.005805963062192e-07,335208.12899965694,-0.009405701362448627,-0.005111703021005218,0.002,-4.4704416102093115e-07,341911.3296995614,-0.0051114794989247075,-0.004420618985611638,0.002
23,-6.991679584770149e-07,335182.4269626937,-0.00946226984915597,-0.005211574612063201,0.002,-4.577019457708642e-07,341868.1072550698,-0.005211345761090316,-0.004520486315698708,0.002
24,-6.977716655014914e-07,335156.2344471959,-0.009519552656649487,-0.005311446203121188,0.002,-4.6794486443282273e-07,341823.8369366829,-0.005311212230688972,-0.004620353645785779,0.002
25,-6.963858994634406e-07,335129.58351741807,-0.009577536971363074,-0.005411317794179173,0.002,-4.777920291172762e-07,341778.5600512264,-0.005411078898164614,-0.004720220975872849,0.002
26,-6.950054206911595e-07,335102.5046512708,-0.009636210132823776,-0.0055111893852371596,0.002,-4.872611195325198e-07,341732.3160441478,-0.005510945754677393,-0.0048200883059599225,0.002
27,-6.936255161896273e-07,335075.02682935714,-0.009695559638171524,-0.005611060976295146,0.002,-4.963684976928858e-07,341685.1426378566,-0.005610812792046299,-0.004919955636046992,0.002
28,-6.922419526006703e-07,335047.1776186848,-0.00975557314618588,-0.005710932567353132,0.002,-5.051293137580809e-07,341637.07595893805,-0.005710680002696253,-0.0050198229661340635,0.002
