,vel 0,Pres 0,FMat 0,FMatRem 0,Visc 0,vel 1,Pres 1,FMat 1,FMatRem 1,Visc 1,vel 2,Pres 2,FMat 2,FMatRem 2,Visc 2,vel 3,Pres 3,FMat 3,FMatRem 3,Visc 3,vel 4,Pres 4,FMat 4,FMatRem 4,Visc 4,vel 5,Pres 5,FMat 5,FMatRem 5,Visc 5,vel 6,Pres 6,FMat 6,FMatRem 6,Visc 6,vel 7,Pres 7,FMat 7,FMatRem 7,Visc 7,vel 8,Pres 8,FMat 8,FMatRem 8,Visc 8,vel 9,Pres 9,FMat 9,FMatRem 9,Visc 9
1512,-8.073535646078217e-08,313489.4731337254,-0.14619995963232144,-0.1461999476856655,0.002,-8.072656187812286e-08,313587.85771019966,-0.14619990732238455,-0.14619975746927508,0.002,-8.071766881213099e-08,313686.2253358252,-0.14619971711044066,-0.14619929735048307,0.002,-8.070867717032363e-08,313784.5758786944,-0.14619925699614447,-0.14619854981497987,0.002,-8.069958717386745e-08,313882.90920868976,-0.14619850946518628,-0.1461975686950315,0.002,-8.069040003406392e-08,313981.2252021821,-0.1461975283498315,-0.1461963770474379,0.002,-8.06811196578112e-08,314079.5237542857,-0.14619633670687807,-0.14619496073606053,0.002,-8.067175638511819e-08,314177.8048069038,-0.14619492040018234,-0.14619328007579757,0.002,-8.066233433141881e-08,314276.06840626744,-0.14619323974463042,-0.14619074426135803,0.002,-8.065290451107125e-08,314374.3148105446,-0.14619070393490577,-0.1461878807109023,0.002
1513,-8.061618861333975e-08,313481.3995980793,-0.14629995969190535,-0.14629994768566545,0.002,-8.060740674260672e-08,313579.78505401185,-0.14629990738196208,-0.14629975746927507,0.002,-8.059852653182154e-08,313678.15356894396,-0.1462997171700118,-0.14629929735048303,0.002,-8.058954788834456e-08,313776.5050109774,-0.1462992570557091,-0.14629854981497986,0.002,-8.058047102705153e-08,313874.83924997237,-0.14629850952474435,-0.1462975686950315,0.002,-8.057129713996823e-08,313973.15616217867,-0.14629752840938293,-0.1462963770474379,0.002,-8.056203007347925e-08,314071.4556423199,-0.14629633676642287,-0.14629496073606052,0.002,-8.05526800255668e-08,314169.7376312653,-0.1462949204597205,-0.14629328007579756,0.002,-8.054327078162736e-08,314268.0021728343,-0.14629323980416217,-0.14629074426135802,0.002,-8.053385270176499e-08,314366.2495200935,-0.14629070399443167,-0.1462878807109023,0.002
1514,-8.049691003280736e-08,313473.337979218,-0.14639995975154463,-0.14639994768566547,0.002,-8.048814088573162e-08,313571.7243133376,-0.14639990744159503,-0.14639975746927505,0.002,-8.047927354112312e-08,313670.0937162908,-0.1463997172296383,-0.14639929735048304,0.002,-8.047030790943137e-08,313768.44605618855,-0.14639925711532908,-0.14639854981497985,0.002,-8.046124419662215e-08,313866.78120286966,-0.14639850958435774,-0.14639756869503145,0.002,-8.045208357446035e-08,313965.09903246467,-0.14639752846898968,-0.14639637704743788,0.002,-8.044282983463768e-08,314063.3994393126,-0.14639633682602296,-0.14639496073606048,0.002,-8.043349302719954e-08,314161.68236326275,-0.14639492051931396,-0.14639328007579755,0.002,-8.042409662098203e-08,314259.94784575613,-0.14639323986374925,-0.146390744261358,0.002,-8.04146903235144e-08,314358.1961348233,-0.14639070405401283,-0.14638788071090228,0.002
1515,-8.037752085948777e-08,313465.2882882147,-0.14649995981123923,-0.14649994768566546,0.002,-8.03687644458753e-08,313563.675499249,-0.14649990750128325,-0.14649975746927504,0.002,-8.03599099820624e-08,313662.04578893667,-0.14649971728932004,-0.14649929735048306,0.002,-8.035095737317057e-08,313760.3990253976,-0.14649925717500437,-0.14649854981497984,0.002,-8.034190682169562e-08,313858.73507845,-0.14649850964402644,-0.14649756869503147,0.002,-8.033275947907422e-08,313957.0538241072,-0.14649752852865172,-0.14649637704743787,0.002,-8.032351907865658e-08,314055.3551563291,-0.14649633688567834,-0.1464949607360605,0.002,-8.031419553213234e-08,314153.63901396,-0.14649492057896274,-0.14649328007579757,0.002,-8.03048119892035e-08,314251.90543609404,-0.14649323992339158,-0.146490744261358,0.002,-8.029541751485365e-08,314350.15466579096,-0.14649070411364923,-0.14648788071090227,0.002
1516,-8.025802123066185e-08,313457.25053612876,-0.146599959870989,-0.14659994768566542,0.002,-8.024927756454944e-08,313555.6386228044,-0.14659990756102664,-0.14659975746927503,0.002,-8.024043599317362e-08,313654.00979793846,-0.14659971734905702,-0.14659929735048302,0.002,-8.02314964198429e-08,313752.3639296603,-0.1465992572347348,-0.14659854981497983,0.002,-8.022245904313446e-08,313850.70088776783,-0.1465985097037503,-0.14659756869503146,0.002,-8.02133249933743e-08,313949.0205481593,-0.14659752858836897,-0.1465963770474379,0.002,-8.0204097948749e-08,314047.32280442124,-0.1465963369453889,-0.1465949607360605,0.002,-8.019478767818354e-08,314145.6075944068,-0.14659492063866664,-0.14659328007579753,0.002,-8.018541702473686e-08,314243.8749548951,-0.146593239983089,-0.14659074426135799,0.002,-8.017603441606324e-08,314342.1251240395,-0.14659070417334077,-0.14658788071090226,0.002
1517,-8.013841129025855e-08,313449.2247340057,-0.146699959930794,-0.14669994768566544,0.002,-8.01296803832654e-08,313547.61369504797,-0.14669990762082524,-0.14669975746927502,0.002,-8.01208517164835e-08,313645.98575433914,-0.14669971740884916,-0.14669929735048304,0.002,-8.011192519219069e-08,313744.3407800183,-0.14669925729452044,-0.14669854981497982,0.002,-8.010290100296541e-08,313842.6786418635,-0.14669850976352933,-0.14669756869503145,0.002,-8.009378025889444e-08,313940.99921566,-0.1466975286481413,-0.14669637704743785,0.002,-8.008456658336023e-08,314039.3023946264,-0.14669633700515455,-0.14669496073606048,0.002,-8.007526960979731e-08,314137.588115639,-0.14669492069842566,-0.14669328007579754,0.002,-8.006591187151092e-08,314235.85641319264,-0.14669324004284162,-0.14669074426135797,0.002,-8.005654116742362e-08,314334.10752059787,-0.1466907042330874,-0.14668788071090227,0.002
1518,-8.001869117549203e-08,313441.21089287667,-0.14679995999065404,-0.1467999476856654,0.002,-8.00099730415658e-08,313539.60072700965,-0.14679990768067888,-0.146799757469275,0.002,-8.000115729169038e-08,313637.9736691675,-0.14679971746869636,-0.146799297350483,0.002,-7.999224382915225e-08,313736.3295874991,-0.14679925735436108,-0.1467985498149798,0.002,-7.998323283972267e-08,313834.6683517632,-0.1467985098233634,-0.14679756869503144,0.002,-7.997412541472867e-08,313932.9898376341,-0.14679752870796872,-0.14679637704743784,0.002,-7.996492512406831e-08,314031.29393796803,-0.14679633706497527,-0.14679496073606046,0.002,-7.995564146432145e-08,314129.580588678,-0.14679492075823974,-0.14679328007579753,0.002,-7.99462966649938e-08,314227.8498220055,-0.14679324010264921,-0.14679074426135796,0.002,-7.993693790746903e-08,314326.1018664811,-0.146790704292889,-0.14678788071090224,0.002
1519,-7.989886102962005e-08,313433.2090237591,-0.14689996005056907,-0.1468999476856654,0.002,-7.989015567930466e-08,313531.5997297055,-0.14689990774058756,-0.146899757469275,0.002,-7.988135285965683e-08,313629.9735534383,-0.14689971752859857,-0.146899297350483,0.002,-7.987245247116364e-08,313728.33036311617,-0.14689925741425675,-0.1468985498149798,0.002,-7.986345469310465e-08,313826.67002847925,-0.14689850988325245,-0.14689756869503143,0.002,-7.985436060115746e-08,313924.9924250926,-0.14689752876785112,-0.14689637704743783,0.002,-7.984517370990065e-08,314023.2974454556,-0.14689633712485098,-0.14689496073606045,0.002,-7.983590338203643e-08,314121.5850245316,-0.14689492081810876,-0.1468932800757975,0.002,-7.982657154727893e-08,314219.855192339,-0.14689324016251173,-0.14689074426135795,0.002,-7.981722477647993e-08,314318.1081726904,-0.14689070435274557,-0.14688788071090222,0.002
1520,-7.977892098947479e-08,313425.21913765615,-0.1469999601105391,-0.14699994768566538,0.002,-7.977022843667358e-08,313523.61071413755,-0.14699990780055117,-0.146999757469275,0.002,-7.976143855775293e-08,313621.98541815236,-0.1469997175885557,-0.14699929735048298,0.002,-7.975255125608813e-08,313720.34311786905,-0.14699925747420736,-0.14699854981497978,0.002,-7.974356670397385e-08,313818.68368300993,-0.14699850994319644,-0.14699756869503142,0.002,-7.973448595787916e-08,313917.0069890325,-0.14699752882778844,-0.14699637704743782,0.002,-7.972531248057779e-08,314015.31292808463,-0.14699633718478158,-0.14699496073606044,0.002,-7.971605550205854e-08,314113.6014341934,-0.1469949208780327,-0.14699328007579748,0.002,-7.970673665752687e-08,314211.87253518426,-0.14699324022242916,-0.14699074426135794,0.002,-7.96974019118264e-08,314310.12645021273,-0.146990704412657,-0.14698788071090224,0.002
1521,-7.965887119818066e-08,313417.2412455572,-0.14709996017056395,-0.14709994768566537,0.002,-7.9650191452229e-08,313515.6336912939,-0.14709990786056965,-0.14709975746927498,0.002,-7.964141452916951e-08,313614.0092742966,-0.14709971764856772,-0.147099297350483,0.002,-7.963254032541467e-08,313712.36786274344,-0.14709925753421282,-0.14709854981497977,0.002,-7.962356901144662e-08,313810.70932633954,-0.14709851000319527,-0.1470975686950314,0.002,-7.961450162517426e-08,313909.0335404367,-0.1470975288877806,-0.1470963770474378,0.002,-7.960534157638027e-08,314007.3403968366,-0.147096337244767,-0.1470949607360604,0.002,-7.959609796406409e-08,314105.62982864317,-0.1470949209380114,-0.14709328007579747,0.002,-7.958679213362335e-08,314203.9018615185,-0.1470932402824014,-0.14709074426135793,0.002,-7.957746945495306e-08,314302.15671002155,-0.1470907044726232,-0.1470878807109022,0.002
